_id,timestamp,acceleration.x,acceleration.y,acceleration.z,rotationRate.alpha,rotationRate.beta,rotationRate.gamma,__v
67499cf9a88c9300588baa19,2024-11-29T10:52:41.218Z,-0.2,0.1,0.5,0.7,-3,0.7,0
67499cf9a88c9300588baa1a,2024-11-29T10:52:41.235Z,0.1,0.2,0.1,2.3,0.8,0.8,0
67499cf9a88c9300588baa1b,2024-11-29T10:52:41.252Z,-0.3,0.3,-0.1,0.9,2.9,3.6,0
67499cf9a88c9300588baa1c,2024-11-29T10:52:41.268Z,-0.4,0.3,0,-1.7,-1.6,5.1,0
67499cf9a88c9300588baa1d,2024-11-29T10:52:41.285Z,-0.3,0.3,0,-1.7,-2.3,6.2,0
67499cf9a88c9300588baa1e,2024-11-29T10:52:41.302Z,-0.4,0.3,0.3,1.5,-0.3,8.1,0
67499cf9a88c9300588baa1f,2024-11-29T10:52:41.318Z,-0.4,0.4,0.3,4.4,3.8,10.1,0
67499cf9a88c9300588baa20,2024-11-29T10:52:41.335Z,-0.4,0.3,0.1,4.6,6.3,11.4,0
67499cf9a88c9300588baa21,2024-11-29T10:52:41.352Z,0,0.1,-0.3,2.4,6,11.8,0
67499cf9a88c9300588baa22,2024-11-29T10:52:41.368Z,0,0,-0.2,-1.1,3.3,12.5,0
67499cf9a88c9300588baa23,2024-11-29T10:52:41.385Z,0.2,-0.1,0,-3.6,2,13.1,0
67499cf9a88c9300588baa24,2024-11-29T10:52:41.402Z,0.4,-0.2,0.2,-3.2,3.2,12.9,0
67499cf9a88c9300588baa25,2024-11-29T10:52:41.418Z,0.7,-0.3,0.3,-1.2,5.4,11.7,0
67499cf9a88c9300588baa26,2024-11-29T10:52:41.435Z,0.7,-0.2,0.3,1,7.1,8.6,0
67499cf9a88c9300588baa27,2024-11-29T10:52:41.452Z,0.4,-0.2,0.4,2.3,2.6,4.9,0
67499cf9a88c9300588baa28,2024-11-29T10:52:41.469Z,0.1,-0.1,0,0.9,0.9,4.9,0
67499cf9a88c9300588baa29,2024-11-29T10:52:41.485Z,0.1,0,-0.1,-0.7,1.6,5.2,0
67499cf9a88c9300588baa2a,2024-11-29T10:52:41.502Z,0.1,0.1,-0.1,-2,2,4.9,0
67499cf9a88c9300588baa2b,2024-11-29T10:52:41.518Z,0.1,0.1,0,-2.7,2,4.3,0
67499cf9a88c9300588baa2c,2024-11-29T10:52:41.535Z,0,0.2,0.2,-2.2,1.2,3.6,0
67499cf9a88c9300588baa2d,2024-11-29T10:52:41.552Z,0,0.1,0.3,-1.2,-0.2,3.3,0
67499cf9a88c9300588baa2e,2024-11-29T10:52:41.568Z,0,0.2,0.2,-0.6,-1.1,2.7,0
67499cf9a88c9300588baa2f,2024-11-29T10:52:41.585Z,0.1,0.1,0.2,-0.7,-0.4,2,0
67499cf9a88c9300588baa30,2024-11-29T10:52:41.602Z,-0.1,0.2,0.3,-0.4,-0.8,2.2,0
67499cf9a88c9300588baa31,2024-11-29T10:52:41.618Z,0,0.1,0.2,-0.3,-0.8,2.4,0
